what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307925402784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307925418541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307925420496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307925523013
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307925526164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307925526186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307925526293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307927848866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307927851725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307927851742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307927851899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307927864191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307927864918
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307927879605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307927879611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307929264346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307929788612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307929799947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307930672924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307930677553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307930683927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307930696393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307930705888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307930711469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307930902860
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307930918599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307930919378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931026787
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1307931031478
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307931099281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931100094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931140941
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1307931145777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307931163411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931164567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931223757
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1307931227867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307931255128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931263269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931390579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931896399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931985446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931989779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307931993187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932019667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932024033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932032546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932112917
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1307932116495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307932129438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932130343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932258333
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307932297056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932297632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932322164
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1307932328490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307932344892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932345412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932384119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307932402301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932402765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932536449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307932550432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932550916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932617046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1307932626472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932626736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932678439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932686743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932686761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932686895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932689332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932689362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307932691837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307933771772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307934979344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307938598091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307947354327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307948041152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307951315704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307951438680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307951450072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307952203427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307954059262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307956353661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307957569188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307964315313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307965534302
